"dateadded","total_tested","total_confirmed_cases"
2020-09-01,11,0
2020-08-31,10,0
2020-08-30,12,0
2020-08-29,12,0
2020-08-28,14,1
2020-08-27,19,1
2020-08-26,6,0
2020-08-25,4,0
2020-08-24,13,0
2020-08-23,8,0
2020-08-22,11,0
2020-08-21,15,0
2020-08-20,25,0
2020-08-19,9,0
2020-08-18,10,0
2020-08-17,7,0
2020-08-16,10,0
2020-08-15,11,0
2020-08-14,6,0
2020-08-13,12,0
2020-08-12,3,0
2020-08-11,4,0
2020-08-10,3,0
2020-08-09,18,1
2020-08-08,7,0
2020-08-07,12,0
2020-08-06,12,0
2020-08-05,8,0
2020-08-04,19,1
2020-08-03,2,1
2020-08-02,24,0
2020-08-01,36,1
2020-07-31,30,0
2020-07-30,37,0
2020-07-29,41,1
2020-07-28,24,2
2020-07-27,21,1
2020-07-26,35,1
2020-07-25,53,1
2020-07-24,59,2
2020-07-23,70,1
2020-07-22,28,1
2020-07-21,60,2
2020-07-20,6,0
2020-07-19,23,0
2020-07-18,25,0
2020-07-17,19,1
2020-07-16,49,2
2020-07-15,46,1
2020-07-14,65,1
2020-07-13,22,0
2020-07-12,50,1
2020-07-11,24,0
2020-07-10,50,0
2020-07-09,43,3
2020-07-08,71,2
2020-07-07,13,0
2020-07-06,2,1
2020-07-05,26,0
2020-07-04,64,3
2020-07-03,59,1
2020-07-02,25,0
2020-07-01,47,1
2020-06-30,64,4
2020-06-29,4,0
2020-06-28,8,0
2020-06-27,63,2
2020-06-26,12,0
2020-06-25,12,1
2020-06-24,24,2
2020-06-23,20,0
2020-06-22,15,1
2020-06-21,30,1
2020-06-20,17,0
2020-06-19,33,0
2020-06-18,27,0
2020-06-17,13,1
2020-06-16,31,0
2020-06-15,24,0
2020-06-14,21,2
2020-06-13,10,0
2020-06-12,30,2
2020-06-11,36,2
2020-06-10,7,1
2020-06-09,16,2
2020-06-08,30,1
2020-06-07,9,0
2020-06-06,29,6
2020-06-05,38,2
2020-06-04,20,0
2020-06-03,33,2
2020-06-02,36,5
2020-06-01,14,1
2020-05-31,18,4
2020-05-30,26,3
2020-05-29,42,4
2020-05-28,34,7
2020-05-27,23,2
2020-05-26,32,3
2020-05-25,37,7
2020-05-24,6,1
2020-05-23,13,4
2020-05-22,19,4
2020-05-21,11,2
2020-05-20,18,1
2020-05-19,12,1
2020-05-18,27,11
2020-05-17,11,1
2020-05-16,5,1
2020-05-15,39,4
2020-05-14,24,5
2020-05-13,10,0
2020-05-12,22,1
2020-05-11,16,3
2020-05-10,11,3
2020-05-09,33,3
2020-05-08,31,3
2020-05-07,29,1
2020-05-06,11,0
2020-05-05,84,4
2020-05-04,55,1
2020-05-03,5,0
2020-05-02,54,9
2020-05-01,47,4
2020-04-30,9,5
2020-04-29,38,7
2020-04-28,24,2
2020-04-27,72,14
2020-04-26,7,0
2020-04-25,46,4
2020-04-24,5,0
2020-04-23,51,6
2020-04-22,3,1
2020-04-21,2,0
2020-04-20,1,0
2020-04-19,12,2
2020-04-18,0,0
2020-04-17,2,2
2020-04-16,13,5
2020-04-15,4,0
2020-04-14,7,2
2020-04-13,7,2
2020-04-12,3,2
2020-04-11,3,1
2020-04-10,6,1
2020-04-09,0,0
2020-04-08,5,0
2020-04-07,2,0
2020-04-06,2,1
2020-04-05,6,2
2020-04-04,3,1
2020-04-03,9,5
2020-04-02,2,1
2020-04-01,3,3
2020-03-31,9,2
2020-03-30,5,2
2020-03-29,7,2
2020-03-28,5,1
2020-03-27,2,0
2020-03-26,2,1
2020-03-25,6,0
2020-03-24,1,0
2020-03-23,0,0
2020-03-22,5,2
2020-03-21,12,1
2020-03-20,3,0
2020-03-19,8,2
2020-03-18,2,0
2020-03-17,7,1
2020-03-16,4,2
2020-03-15,2,0
2020-03-14,0,0
2020-03-13,3,1
2020-03-12,3,0
2020-03-11,1,0
2020-03-10,0,0
2020-03-09,0,0
2020-03-08,0,0
2020-03-07,0,0
2020-03-06,0,0
2020-03-05,0,0
2020-03-04,0,0
2020-03-03,0,0
